MW,EN,RC,Ratio,Zn2+,Mn2+,Potential Windows,Current Density
138.91,1.1,1.064,0.006,1.0,0.4,1.1,0.1
63.55,1.9,0.73,0.0595,2.0,0.2,1.1,0.1
22.99,0.93,1.02,0.43,2.0,0.1,0.85,0.5
26.98,1.61,0.535,0.045,2.0,0.2,0.9,2.0
22.99,0.93,1.02,0.15,2.0,0.1,0.8,1.0
58.93,1.88,0.745,0.063,2.0,0.2,0.85,2.0
140.12,1.1,1.061,0.309,2.0,0.1,1.0,0.1
208.98,2.02,1.03,0.06,2.0,0.2,0.8,2.0
65.41,1.65,0.74,0.16,2.0,0.1,0.9,1.5
39.09,0.82,1.38,0.14,2.0,0.1,1.0,0.2
39.09,0.82,1.38,0.112,3.0,0.2,1.0,0.308
138.91,1.1,1.064,0.015,1.0,0.4,1.1,0.2
138.91,1.1,1.064,0.017,1.0,0.4,1.1,0.2
39.09,0.82,1.38,0.19,3.0,0.0,1.6,4.0
39.09,0.82,1.38,0.18,2.0,0.4,1.1,3.0
138.91,1.1,1.064,0.006,1.0,0.4,1.1,1.2
58.69,1.91,0.69,0.1932,3.0,0.2,0.9,0.5
22.99,0.93,1.02,0.15,2.0,0.1,0.8,0.3
208.98,2.02,1.03,0.12,2.0,0.2,0.8,0.4
58.93,1.88,0.745,0.063,2.0,0.2,0.85,1.0
104.86,1.93,1.26,0.054,2.0,0.2,0.8,0.5
6.94,0.98,0.76,0.52,2.0,0.1,0.85,0.1
208.98,2.02,1.03,0.03,2.0,0.2,0.8,0.8
208.98,2.02,1.03,0.03,2.0,0.2,0.8,3.0
39.09,0.82,1.38,0.1,2.0,0.1,0.8,0.5
208.98,2.02,1.03,0.09,2.0,0.1,1.1,0.2
151.96,1.2,0.947,0.04,2.0,0.1,1.1,1.0
88.9,1.22,0.9,0.0046,3.0,0.1,1.0,0.2
39.09,0.82,1.38,0.1,2.0,0.1,0.8,0.1
26.98,1.61,0.535,0.045,2.0,0.2,0.9,3.0
39.09,0.82,1.38,0.29,2.5,0.2,0.9,3.0
